ID,Drug Name,Targets,Z Score,Count
"2096","VX-11e","ERK2","-3.3838161372394628","281"
"1714","ERK_6604","ERK1,ERK2","-2.9924611407689516","281"
"1510","Linsitinib","IGF1R","-2.9323176861376212","281"
"1576","IWP-2","PORCN","-2.7281034160481554","281"
"1084","Rapamycin","MTORC1","-2.5462662001765657","281"
"1718","JAK1_8709","JAK1","-2.4704557389847102","281"
"1834","743380","","-2.4372969423343407","281"
"2154","GSK-LSD1-2HCl ","LSD1","-2.3386695451902324","281"
"1738","IGF1R_3801","IGFR1","-2.3218331586316237","281"
"2149","CT7033-2","KDM4A, KDM4C, KDM4E, KDM3A, KDM6B","-2.3141875616898604","281"
"1713","ERK_2440","ERK1,ERK2","-2.2936338110023442","281"
"1560","Alpelisib","PI3Kalpha","-2.2879293623427412","281"
"1833","741909","","-2.2639780398259339","281"
"1706","AZD5153","BRD4","-2.2510198512072921","281"
"1051","Alisertib","AURKA","-2.2503592751171615","281"
"1908","Ulixertinib","ERK1, ERK2","-2.2325784303407676","281"
"1375","Temozolomide","DNA alkylating agent","-2.2082581171318312","281"
"1632","Ribociclib","CDK4, CDK6","-2.1954632576674733","281"
"1030","KU-55933","ATM","-2.1925351531976651","281"
"1564","SCH772984","ERK1, ERK2","-2.1889875098025078","281"
"1581","Bromosporine","CECR2, BRD2, BRD4, BRD9","-2.1821118422831809","281"
"1091","BMS-536924","IGF1R, IR","-2.1794579199626916","281"
"1720","AZD5991","MCL1","-2.1749077185068133","281"
"1131","PRIMA-1MET","TP53 activation","-2.1701280376969208","281"
"1626","OTX015","BRD2, BRD3, BRD4","-2.153290711560282","281"
"1021","Axitinib","PDGFR, KIT, VEGFR","-2.1496392806865039","281"
"1926","GNE-317","PI3Kalpha","-2.0982276931260229","281"
"2047","Ulixertinib","ERK1, ERK2","-2.0930467807356004","281"
"1049","PD173074","FGFR1, FGFR2, FGFR3","-2.0770929340636877","281"
"1624","I-BET-762","BRD2, BRD3, BRD4","-2.0124735242847933","281"
"1561","Taselisib","PI3K (beta sparing)","-1.9820052277847517","281"
"1594","OSI-027","MTORC1, MTORC2","-1.9796831272511759","281"
"1441","AZD2014","mTORC1, mTORC2","-1.9750961124188133","281"
"1250","AZ960","JAK2, JAK3","-1.9587829790157725","281"
"1249","BMS-345541","IKK-1, IKK-2","-1.9540520696573993","281"
"1014","Refametinib","MEK1, MEK2","-1.9508816815294117","281"
"1826","50869","","-1.9324788249595972","281"
"1999","N25720-51-A1","","-1.9289620333323785","281"
"1836","150412","","-1.9017898374448228","281"
"1996","MIM1","MCL1","-1.8875811274979433","281"
"1778","GSK2110183B","AKT1, AKT2, AKT3","-1.8796527813920418","281"
"1625","RVX-208","BRD4","-1.8685899733779097","281"
"1854","MN-64","TNKS1, TNKS2","-1.8647643252280079","281"
"1873","Buparlisib","PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma","-1.8512056939545358","281"
"1932","NVP-ADW742","IGF1R","-1.842764083212338","281"
"1177","Niraparib","PARP1, PARP2","-1.8350012605314652","281"
"1553","Uprosertib","AKT1, AKT2, AKT3","-1.8308486398983792","281"
"1614","WZ4003","NUAK1, NUAK2","-1.8303439057779887","281"
"1712","Eg5_9814","KSP11","-1.8210207070698567","281"
"2145","PBD-288","","-1.8205194039383039","281"
"1058","Pictilisib","PI3K (class 1)","-1.8120392890951771","281"
"2046","MK-8776","CHEK1, CHEK2, CDK2","-1.7943864390654602","281"
"2171","BMS-754807","IGF1R, IR","-1.781457256133419","281"
"1372","Trametinib","MEK1, MEK2","-1.7813760393075777","281"
"2106","Uprosertib","AKT1, AKT2, AKT3","-1.7714990523657941","281"
"1582","SGC-CBP30","EP300, CBP","-1.766066405215293","281"
"1068","Obatoclax Mesylate","BCL2, BCL-XL, BCL-W, MCL1","-1.7635649567315059","281"
"1739","JAK_8517","JAK1, JAK2","-1.7595168747501997","281"
"1785","LMB_AB3","PPP1R15B","-1.7587877523387716","281"
"2159","UNC0379","SETD8","-1.7447068824592278","281"
"2002","N30652-18-1","","-1.7437416675656405","281"
"1580","GSK2801","","-1.7408906688990169","281"
"1053","MK-2206","AKT1, AKT2","-1.7397227842434302","281"
"1022","AZD7762","CHEK1, CHEK2","-1.7358933870906785","281"
"1239","YK-4-279","RNA helicase A","-1.7122580024399887","281"
"1634","AGI-6780","IDH2 R140Q mutant","-1.7030093981141621","281"
"1463","AZD1332","NTRK1, NTRK2, NTRK3","-1.7020827767406115","281"
"1048","Mirin","MRE11","-1.6694418677104392","281"
"1845","Schweinfurthin A","","-1.630356997098714","281"
"1835","Elephantin","","-1.6279043806332818","281"
"2158","CPI-637","EP300","-1.621286393532267","281"
"1585","BDF00022089a","BRPF1, BRPF2, BRPF3","-1.6024983586055161","281"
"1401","AZD5438","CDK2","-1.5979367212514839","281"
"1179","MK-1775","WEE1, PLK1","-1.5962436961785207","281"
"1813","Fludarabine","Antimetabolite","-1.5870400388989072","281"
"1809","Teniposide","","-1.5826878532654249","281"
"1840","630600","","-1.5443801275798164","281"
"1019","Bosutinib","SRC, ABL, TEC","-1.5311725640837728","281"
"1820","123829","","-1.5298527818304892","281"
"2173","PFI-1","BRD4","-1.5181583439928601","281"
"2000","N27922-53-1","","-1.5123268396079648","281"
"1855","KRAS (G12C) Inhibitor-12","KRAS (G12C)","-1.4995554949038512","281"
"1777","GSK2276186C","JAK1, JAK2, JAK3","-1.4945909750544835","281"
"1052","RO-3306","CDK1","-1.4718597486435614","281"
"1819","Docetaxel","Microtubule stabiliser","-1.4677629380833208","281"
"1449","AZD1208","PIM1, PIM2, PIM3","-1.4663963630175423","281"
"2045","AMG-319","PI3K (beta sparing)","-1.4655891984462941","281"
"1825","Podophyllotoxin bromide","","-1.4632869809609317","281"
"2172","JQ1","BRD2, BRD3, BRD4, BRDT","-1.4457208925651197","281"
"2048","Vinorelbine","Microtubule destabiliser","-1.4390156725765761","281"
"2040","Foretinib","MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR","-1.4384353722193877","281"
"1866","BDP-00009066","MRCKB_HUMAN","-1.4336521780167706","281"
"1928","I-BRD9","BRD9","-1.4333875950132711","281"
"1734","VSP34_8731","VSP34","-1.418058604112743","281"
"1073","5-Fluorouracil","Antimetabolite (DNA & RNA)","-1.4072867489682253","281"
"1024","Lestaurtinib","FLT3, JAK2, NTRK1, NTRK2, NTRK3","-1.3976895857353","281"
"1912","Afuresertib","AKT1, AKT2, AKT3","-1.3847794586537188","281"
"1054","Palbociclib","CDK4, CDK6","-1.3820727301490685","281"
"1180","Dinaciclib","CDK1, CDK2, CDK5, CDK9","-1.3801763061196075","281"
"1631","PRT062607","SYK","-1.3763955399264598","281"
"1924","Ipatasertib","AKT1, AKT, AKT3","-1.3493851218047275","281"
"1083","Crizotinib","MET, ALK, ROS1","-1.3490666661028883","281"
"1925","GDC0810","ESR1, ESR2","-1.3490219927074909","281"
"1818","Vincristine","","-1.347438971758542","281"
"1057","Dactolisib","PI3K (class 1), MTORC1, MTORC2","-1.343851313278849","281"
"1133","Serdemetan","MDM2","-1.3400064282120092","281"
"1930","Telomerase Inhibitor IX","Telomerase","-1.3373271093939503","281"
"1149","TW 37","BCL2, BCL-XL, MCL1","-1.3042807637322142","281"
"2044","Pyridostatin","G-quadruplex stabiliser","-1.2950975293004483","281"
"1916","AZD5363","AKT1, AKT2, AKT3, ROCK2","-1.2923270146041763","281"
"1529","Pevonedistat","NAE","-1.2796264744603769","281"
"1708","CDK9_5576","CDK9","-1.2769737163202803","281"
"1716","IRAK4_4710","IRAK4","-1.2752912465401667","281"
"1016","Temsirolimus","MTOR","-1.2661269329519176","281"
"2010","HKMTI-1-005","","-1.2659351295145878","281"
"1012","Vorinostat","HDAC inhibitor Class I, IIa, IIb, IV","-1.2587962835202628","281"
"1780","GSK3337463A","NIK","-1.2547379137358801","281"
"1004","Vinblastine","Microtubule destabiliser","-1.2461756610913715","281"
"1006","Cytarabine","Antimetabolite","-1.2438783524001529","281"
"1784","LMB_AB2","GADD34","-1.2406302154170212","281"
"1613","VE-822","ATR","-1.2249127923085397","281"
"1046","Wee1 Inhibitor","WEE1, CHEK1","-1.2196575568775663","281"
"1786","AZD4547","FGFR1, FGFR2, FGFR3","-1.2163248609798603","281"
"1013","Nilotinib","ABL","-1.2119306466145916","281"
"1844","776928","","-1.2048752004582624","281"
"1709","CDK9_5038","CDK9","-1.194057455325634","281"
"1511","Epirubicin","Anthracycline","-1.1781008527096177","281"
"1917","AZD6738","ATR","-1.1758021605043698","281"
"1814","Nelarabine","","-1.1691409681638607","281"
"1018","Veliparib","PARP1, PARP2","-1.1579349944417843","281"
"1843","LMP744","TOP1","-1.157022611950141","281"
"2157","A-366","EHMT1, EHMT2","-1.1505479746941396","281"
"1810","Mitoxantrone","TOP2","-1.129397254505645","281"
"1806","Oxaliplatin","DNA alkylating agent","-1.1201224536165486","281"
"1034","Staurosporine","Broad spectrum kinase inhibitor","-1.1119478374237488","281"
"1776","GSK2256098C","FAK1","-1.1117350195113638","281"
"1088","Irinotecan","TOP1","-1.1072789805113834","281"
"1578","Leflunomide","Pyrimidine synthesis inhibitor","-1.0961082669776632","281"
"1080","Paclitaxel","Microtubule stabiliser","-1.0905311001115987","281"
"2111","VE821","ATR","-1.074210591002283","281"
