ID,Drug Name,Targets,Z Score,Count
"185","Linsitinib","IGF1R","-3.7439451229409553","362"
"1362","BAY ACCi","ACACA","-3.2221718565207058","362"
"289","KIN001-042","GSK3B","-3.0235499958343643","362"
"1262","UNC1215","L3MBTL3","-2.9603512909878869","362"
"375","Voxtalisib","PI3K (class 1), DNAPK, MTOR","-2.9406787772639502","362"
"184","BMS-754807","IGF1R, IR","-2.9071268250597733","362"
"1375","Temozolomide","DNA alkylating agent","-2.6892128446899566","362"
"62","BMS-536924","IGF1R, IR","-2.492964367496008","362"
"374","GSK1059615","PI3K","-2.4900555964853552","362"
"1028","VX-702","p38","-2.3899932373682962","362"
"382","Apitolisib","mTOR, PI3K","-2.3716075220719328","362"
"63","BMS-509744","ITK","-2.3418941337837067","362"
"35","NVP-TAE684","ALK","-2.3216514800115289","362"
"192","LFM-A13","BTK","-2.2483768506486372","362"
"287","KIN001-244","PDK1","-2.2289211391473178","362"
"1053","MK-2206","AKT1, AKT2","-2.0255156048176","362"
"449","CD532","AURKA","-2.0141904985571832","362"
"1049","PD173074","FGFR1, FGFR2, FGFR3","-1.9634032227987819","362"
"317","WYE-125132","mTOR","-1.9337573204774032","362"
"372","Pilaralisib","PI3K","-1.8993582960109971","362"
"204","Tipifarnib","Farnesyl-transferase (FNTA)","-1.8971893356246283","362"
"1363","BAY AKT1","AKT1, AKT2, AKT3","-1.8550454280107285","362"
"381","AST-1306","EGFR, ERBB4","-1.8537238720957945","362"
"1008","Methotrexate","Antimetabolite","-1.8382442894723043","362"
"1135","AZD4547","FGRF1, FGFR2, FGFR3","-1.8024744790494183","362"
"1266","ICL1100013","N-myristoyltransferase 1/2","-1.7931359831595404","362"
"1136","Capivasertib","AKT","-1.7548158424977367","362"
"1001","AICA Ribonucleotide","AMPK agonist","-1.7507701093088761","362"
"165","DMOG","HIF-PH","-1.7420107889920171","362"
"264","ACY-1215","HDAC6","-1.7322485873840225","362"
"171","AKT inhibitor VIII","AKT1, AKT2, AKT3","-1.7040781845153006","362"
"371","Torin 2","mTOR","-1.6894022743695802","362"
"179","5-Fluorouracil","Antimetabolite (DNA & RNA)","-1.6701501761231476","362"
"271","VNLG/124","HDAC,RAR","-1.6362151547980812","362"
"1052","RO-3306","CDK1","-1.6073033075140881","362"
"290","KIN001-260","CDC7","-1.5905255422820987","362"
"180","Thapsigargin","SERCA","-1.5672409308837005","362"
"32","Tozasertib","AURKA, AURKB, AURKC, others","-1.526613146891131","362"
"1441","AZD2014","mTORC1, mTORC2","-1.5226349934729757","362"
"1004","Vinblastine","Microtubule destabiliser","-1.5168978858228914","362"
"1241","CHIR-99021","GSK3A, GSK3B","-1.5100399501149027","362"
"1024","Lestaurtinib","FLT3, JAK2, NTRK1, NTRK2, NTRK3","-1.4910139571849201","362"
"356","AT7867","AKT","-1.4775802863711052","362"
"345","KIN001-270","CDK9","-1.45968492832668","362"
"1019","Bosutinib","SRC, ABL, TEC","-1.4437355824156706","362"
"41","S-Trityl-L-cysteine","KIF11","-1.4201321171289083","362"
"1430","IGFR_3801","IGFR1","-1.4085280961481246","362"
"380","BIBF-1120","VEGFR, PDGFR, FGFR","-1.3960353857221135","362"
"221","TAK-715","p38alpha, p38beta","-1.3888689552003226","362"
"1446","PI3Ka_4409","PI3Kalpha, PI3Kdelta","-1.3848860013513511","362"
"1020","Lenalidomide","CRBN","-1.3786421773406847","362"
"1022","AZD7762","CHEK1, CHEK2","-1.3739552152928263","362"
