ID,Drug Name,Targets,Z Score,Count
"1016","Temsirolimus","MTOR","-4.0799861009361962","278"
"1734","VSP34_8731","VSP34","-3.696984823367504","278"
"1733","ULK1_4989","ULK1","-3.4666945361793324","278"
"1730","PAK_5339","PAK1, PAK2","-3.369368156566424","278"
"1718","JAK1_8709","JAK1","-3.3198095758198911","278"
"1507","Ruxolitinib","JAK1, JAK2","-3.2908906443531354","278"
"1084","Rapamycin","MTORC1","-3.1064789610293198","278"
"1931","MIRA-1","TP53","-3.0237157124026712","278"
"1073","5-Fluorouracil","Antimetabolite (DNA & RNA)","-2.9196213693788589","278"
"2110","GSK591","PMRT5","-2.8895929959191533","278"
"2361","THR-102","Mutant RAS","-2.696671525587973","278"
"1777","GSK2276186C","JAK1, JAK2, JAK3","-2.6317536412350093","278"
"2438","ascorbate (vitamin C)","anti-oxidant proteins","-2.5670803407536606","278"
"1706","AZD5153","BRD4","-2.5565504701151762","278"
"2039","AGK2","BAZ2A, BAZ2B","-2.5186483390630681","278"
"2499","N-acetyl cysteine","Metabolism","-2.5078470904477275","278"
"1624","I-BET-762","BRD2, BRD3, BRD4","-2.4888958559144374","278"
"2360","THR-101","Mutant RAS","-2.4760867552962473","278"
"2439","glutathione","anti-oxidant proteins","-2.4633398583154258","278"
"1720","AZD5991","MCL1","-2.4573351067167524","278"
"1838","Sinularin","","-2.4412715677371453","278"
"2038","UNC0638","G9A, GLP","-2.4391921012096232","278"
"2158","CPI-637","EP300","-2.4289576929622401","278"
"2172","JQ1","BRD2, BRD3, BRD4, BRDT","-2.3705654569664687","278"
"1054","Palbociclib","CDK4, CDK6","-2.342903176414981","278"
"1627","GSK343","EZH2","-2.3338645414931998","278"
"2173","PFI-1","BRD4","-2.3278635364150819","278"
"1626","OTX015","BRD2, BRD3, BRD4","-2.3261785204525713","278"
"1175","Rucaparib","PARP1, PARP2","-2.2678410641058981","278"
"1024","Lestaurtinib","FLT3, JAK2, NTRK1, NTRK2, NTRK3","-2.2599821370360664","278"
"1047","Nutlin-3a (-)","MDM2","-2.2422918366117108","278"
"1999","N25720-51-A1","","-2.1874519836546167","278"
"1018","Veliparib","PARP1, PARP2","-2.1616033577861966","278"
"1581","Bromosporine","CECR2, BRD2, BRD4, BRD9","-2.1329866081747566","278"
"1849","Sabutoclax","BCL2,  BCL-XL,  BFL1, MCL1","-2.124707919874282","278"
"1632","Ribociclib","CDK4, CDK6","-2.1242427620919355","278"
"1716","IRAK4_4710","IRAK4","-2.1144992904533706","278"
"2149","CT7033-2","KDM4A, KDM4C, KDM4E, KDM3A, KDM6B","-2.0928123958246632","278"
"2037","GSK343","EZH2","-2.0678564107909683","278"
"1911","Dactinomycin","RNA polymerase","-2.0558065158604037","278"
"1820","123829","","-2.0495956799667221","278"
"2010","HKMTI-1-005","","-2.0238260722194492","278"
"1089","Oxaliplatin","DNA alkylating agent","-2.0023353175314651","278"
"1023","GW441756","NTRK1","-1.9967942775847609","278"
"1005","Cisplatin","DNA crosslinker","-1.9960297588989726","278"
"1614","WZ4003","NUAK1, NUAK2","-1.9944577387139542","278"
"1809","Teniposide","","-1.9942436697010772","278"
"1622","Wnt-C59","PORCN","-1.9677817000656594","278"
"1917","AZD6738","ATR","-1.9571502709343531","278"
"1012","Vorinostat","HDAC inhibitor Class I, IIa, IIb, IV","-1.9513357370122337","278"
"1578","Leflunomide","Pyrimidine synthesis inhibitor","-1.9341194214731168","278"
"1933","P22077","USP7, USP47","-1.9325773603617813","278"
"1511","Epirubicin","Anthracycline","-1.9279632255314894","278"
"1019","Bosutinib","SRC, ABL, TEC","-1.9269178763940309","278"
"1635","Picolinici-acid","Inflammatory related","-1.8958951774999471","278"
"2011","ICL-SIRT078","SIR2","-1.8918801686357172","278"
"2362","THR-103","Mutant RAS","-1.8863996954153366","278"
"2159","UNC0379","SETD8","-1.8856639613246076","278"
"1625","RVX-208","BRD4","-1.8842364215038774","278"
"1840","630600","","-1.8202100454781398","278"
"1582","SGC-CBP30","EP300, CBP","-1.8114261201828425","278"
"1093","GSK1904529A","IGF1R, IR","-1.8071202548111291","278"
"1378","Bleomycin (50 uM)","dsDNA break induction","-1.8070421905060108","278"
"2112","VTP-A","","-1.8027565532301173","278"
"1930","Telomerase Inhibitor IX","Telomerase","-1.7913003966709451","278"
"1806","Oxaliplatin","DNA alkylating agent","-1.785091188712149","278"
"1928","I-BRD9","BRD9","-1.7688148395419123","278"
"1048","Mirin","MRE11","-1.7466385566416633","278"
"1996","MIM1","MCL1","-1.7448109902756257","278"
"1133","Serdemetan","MDM2","-1.7359936110891667","278"
"1017","Olaparib","PARP1, PARP2","-1.7341500051239747","278"
"1008","Methotrexate","Antimetabolite","-1.7264195763128194","278"
"1821","765771","","-1.7121244273467","278"
"2046","MK-8776","CHEK1, CHEK2, CDK2","-1.7077197134195734","278"
"1811","Dactinomycin","RNA polymerase","-1.7052276801196655","278"
"1835","Elephantin","","-1.687471197677513","278"
"1620","PFI3","Polybromo 1, SMARCA4, SMARCA2","-1.6771746296948247","278"
"1808","Topotecan","TOP1","-1.6756475420086503","278"
"1926","GNE-317","PI3Kalpha","-1.6689403818230968","278"
"1168","Erlotinib","EGFR","-1.6657465989428251","278"
"1784","LMB_AB2","GADD34","-1.6629565831610069","278"
"1739","JAK_8517","JAK1, JAK2","-1.660823011527653","278"
"1003","Camptothecin","TOP1","-1.6593369228009318","278"
"1836","150412","","-1.6538903170298318","278"
"1816","Fulvestrant","ESR","-1.653157617525963","278"
"2055","Mycophenolic acid","","-1.6460813088415263","278"
"1615","CZC24832","PI3Kgamma","-1.6418072229483036","278"
"1049","PD173074","FGFR1, FGFR2, FGFR3","-1.638713457661136","278"
"1629","ML323","USP1, UAF1","-1.6315661411782176","278"
"1052","RO-3306","CDK1","-1.631408918692673","278"
"2359","GSK2830371","WIP1","-1.6217486298380992","278"
"1593","Entinostat","HDAC1, HDAC3","-1.6054791863036724","278"
"1191","Bortezomib","Proteasome","-1.6004470093260439","278"
"2156","5-azacytidine","DNA methyltransferases","-1.593629809377618","278"
