,value,location,sample date,measure
127052,"1,57",Somchair,22-Sep-15,Nitrates
127053,"1,77",Somchair,22-Sep-15,Total nitrogen
127054,"0,0575",Somchair,22-Sep-15,Orthophosphate-phosphorus
127055,"0,06",Somchair,22-Sep-15,Total phosphorus
127056,"0,058",Somchair,22-Sep-15,Total dissolved phosphorus
127057,"60,6",Somchair,22-Sep-15,Calcium
127058,"14,5",Somchair,22-Sep-15,Magnesium
127059,"113,84",Somchair,22-Sep-15,Chlorides
127060,"89,24",Somchair,22-Sep-15,Sulphates
127061,"1,52",Somchair,22-Sep-15,Biochemical Oxygen
127062,"22,3",Somchair,22-Sep-15,Chemical Oxygen Demand (Cr)
127063,"5,53",Somchair,22-Sep-15,Chemical Oxygen Demand (Mn)
127064,"0,1276",Somchair,22-Sep-15,Petroleum hydrocarbons
127065,0,Somchair,22-Sep-15,Atrazine
127066,0,Somchair,22-Sep-15,"p,p-DDT"
127067,0,Somchair,22-Sep-15,gamma-Hexachlorocyclohexane
127068,17,Busarakhan,22-Sep-15,Water temperature
127069,"8,055",Busarakhan,22-Sep-15,Dissolved oxygen
127070,209,Busarakhan,22-Sep-15,Total hardness
127071,465,Busarakhan,22-Sep-15,Total dissolved salts
127072,"0,117",Busarakhan,22-Sep-15,Ammonium
127073,"0,036",Busarakhan,22-Sep-15,Nitrites
127074,"1,18",Busarakhan,22-Sep-15,Nitrates
127075,"1,385",Busarakhan,22-Sep-15,Total nitrogen
127076,"0,061",Busarakhan,22-Sep-15,Orthophosphate-phosphorus
127077,"0,08",Busarakhan,22-Sep-15,Total phosphorus
127078,"0,076",Busarakhan,22-Sep-15,Total dissolved phosphorus
127079,"57,8",Busarakhan,22-Sep-15,Calcium
127080,"15,6",Busarakhan,22-Sep-15,Magnesium
127081,"34,27",Busarakhan,22-Sep-15,Chlorides
127082,"62,02",Busarakhan,22-Sep-15,Sulphates
127083,"1,64",Busarakhan,22-Sep-15,Biochemical Oxygen
127084,"28,12",Busarakhan,22-Sep-15,Chemical Oxygen Demand (Cr)
127085,"7,44",Busarakhan,22-Sep-15,Chemical Oxygen Demand (Mn)
127086,0,Busarakhan,22-Sep-15,Anionic active surfactants
127087,"0,5846",Busarakhan,22-Sep-15,Petroleum hydrocarbons
127088,0,Busarakhan,22-Sep-15,Atrazine
127089,0,Busarakhan,22-Sep-15,"p,p-DDT"
127090,0,Busarakhan,22-Sep-15,gamma-Hexachlorocyclohexane
127091,"0,053",Decha,24-Sep-15,Ammonium
127092,"0,021",Decha,24-Sep-15,Nitrites
127093,"0,337",Decha,24-Sep-15,Nitrates
127094,"1,25",Decha,24-Sep-15,Total nitrogen
127095,"0,066",Decha,24-Sep-15,Orthophosphate-phosphorus
127096,"0,114",Decha,24-Sep-15,Total phosphorus
127097,"19,5",Kannika,24-Sep-15,Water temperature
127098,"8,29",Kannika,24-Sep-15,Dissolved oxygen
127099,"90,31",Kannika,24-Sep-15,Oxygen saturation
127100,"160,912",Kannika,24-Sep-15,Total hardness
127101,"161,65",Kannika,24-Sep-15,Bicarbonates
127102,"212,6",Kannika,24-Sep-15,Total dissolved salts
127103,"0,069",Kannika,24-Sep-15,Ammonium
127104,"0,035",Kannika,24-Sep-15,Nitrites
127105,"0,805",Kannika,24-Sep-15,Nitrates
127106,"1,097",Kannika,24-Sep-15,Total nitrogen
127107,"0,034",Kannika,24-Sep-15,Orthophosphate-phosphorus
127108,"0,08",Kannika,24-Sep-15,Total phosphorus
127109,"0,067",Kannika,24-Sep-15,Total dissolved phosphorus
127110,"22,6",Kannika,24-Sep-15,Sodium
127111,"3,1",Kannika,24-Sep-15,Potassium
127112,"41,47",Kannika,24-Sep-15,Calcium
127113,"14,03",Kannika,24-Sep-15,Magnesium
127114,"29,18",Kannika,24-Sep-15,Chlorides
127115,"37,12",Kannika,24-Sep-15,Sulphates
127116,"1,095",Kannika,24-Sep-15,Iron
127117,0,Kannika,24-Sep-15,Manganese
127118,0,Kannika,24-Sep-15,Manganese
127119,"7,95",Kannika,24-Sep-15,Copper
127120,"2,78",Kannika,24-Sep-15,Chromium
127121,"2,02",Kannika,24-Sep-15,Lead
127122,0,Kannika,24-Sep-15,Cadmium
127123,0,Kannika,24-Sep-15,Mercury
127124,2,Kannika,24-Sep-15,Nickel
127125,"0,61",Kannika,24-Sep-15,Biochemical Oxygen
127126,"8,76",Kannika,24-Sep-15,Chemical Oxygen Demand (Cr)
127127,"4,22",Kannika,24-Sep-15,Chemical Oxygen Demand (Mn)
127128,0,Kannika,24-Sep-15,Anionic active surfactants
127129,0,Kannika,24-Sep-15,Petroleum hydrocarbons
127130,0,Kannika,24-Sep-15,Atrazine
127131,0,Kannika,24-Sep-15,"p,p-DDT"
127132,0,Kannika,24-Sep-15,gamma-Hexachlorocyclohexane
127133,"19,5",Kannika,24-Sep-15,Water temperature
127134,"8,29",Kannika,24-Sep-15,Dissolved oxygen
127135,"90,3",Kannika,24-Sep-15,Oxygen saturation
127136,"158,954",Kannika,24-Sep-15,Total hardness
127137,"158,6",Kannika,24-Sep-15,Bicarbonates
127138,207,Kannika,24-Sep-15,Total dissolved salts
127139,"0,067",Kannika,24-Sep-15,Ammonium
127140,"0,035",Kannika,24-Sep-15,Nitrites
127141,"0,816",Kannika,24-Sep-15,Nitrates
127142,"0,036",Kannika,24-Sep-15,Orthophosphate-phosphorus
127143,"0,06",Kannika,24-Sep-15,Total phosphorus
127144,"0,043",Kannika,24-Sep-15,Total dissolved phosphorus
127145,"21,6",Kannika,24-Sep-15,Sodium
127146,3,Kannika,24-Sep-15,Potassium
127147,"41,47",Kannika,24-Sep-15,Calcium
127148,"13,55",Kannika,24-Sep-15,Magnesium
127149,"28,99",Kannika,24-Sep-15,Chlorides
127150,"34,17",Kannika,24-Sep-15,Sulphates
127151,"1,045",Kannika,24-Sep-15,Iron
127152,0,Kannika,24-Sep-15,Manganese
127153,0,Kannika,24-Sep-15,Manganese
127154,"10,75",Kannika,24-Sep-15,Copper
127155,"4,73",Kannika,24-Sep-15,Chromium
127156,"2,56",Kannika,24-Sep-15,Lead
127157,"0,19",Kannika,24-Sep-15,Cadmium
127158,0,Kannika,24-Sep-15,Mercury
127159,2,Kannika,24-Sep-15,Nickel
127160,"0,59",Kannika,24-Sep-15,Biochemical Oxygen
127161,"9,95",Kannika,24-Sep-15,Chemical Oxygen Demand (Cr)
127162,"3,71",Kannika,24-Sep-15,Chemical Oxygen Demand (Mn)
127163,0,Kannika,24-Sep-15,Anionic active surfactants
127164,"0,3748",Kannika,24-Sep-15,Petroleum hydrocarbons
127165,0,Kannika,24-Sep-15,Atrazine
127166,0,Kannika,24-Sep-15,"p,p-DDT"
127167,0,Kannika,24-Sep-15,gamma-Hexachlorocyclohexane
127168,"19,5",Kannika,24-Sep-15,Water temperature
127169,"8,35",Kannika,24-Sep-15,Dissolved oxygen
127170,"90,96",Kannika,24-Sep-15,Oxygen saturation
127171,"158,954",Kannika,24-Sep-15,Total hardness
127172,"161,65",Kannika,24-Sep-15,Bicarbonates
127173,"214,8",Kannika,24-Sep-15,Total dissolved salts
127174,"0,04",Kannika,24-Sep-15,Ammonium
127175,"0,032",Kannika,24-Sep-15,Nitrites
127176,"0,816",Kannika,24-Sep-15,Nitrates
127177,"0,036",Kannika,24-Sep-15,Orthophosphate-phosphorus
127178,"0,065",Kannika,24-Sep-15,Total phosphorus
127179,"0,049",Kannika,24-Sep-15,Total dissolved phosphorus
127180,21,Kannika,24-Sep-15,Sodium
127181,"3,2",Kannika,24-Sep-15,Potassium
127182,"42,27",Kannika,24-Sep-15,Calcium
127183,"13,07",Kannika,24-Sep-15,Magnesium
127184,"29,77",Kannika,24-Sep-15,Chlorides
127185,"30,21",Kannika,24-Sep-15,Sulphates
127186,"1,38",Kannika,24-Sep-15,Iron
127187,0,Kannika,24-Sep-15,Manganese
127188,0,Kannika,24-Sep-15,Manganese
127189,"9,6",Kannika,24-Sep-15,Copper
127190,"3,04",Kannika,24-Sep-15,Chromium
127191,2,Kannika,24-Sep-15,Lead
127192,"0,34",Kannika,24-Sep-15,Cadmium
127193,0,Kannika,24-Sep-15,Mercury
127194,2,Kannika,24-Sep-15,Nickel
127195,"0,65",Kannika,24-Sep-15,Biochemical Oxygen
127196,"10,75",Kannika,24-Sep-15,Chemical Oxygen Demand (Cr)
127197,"4,28",Kannika,24-Sep-15,Chemical Oxygen Demand (Mn)
127198,0,Kannika,24-Sep-15,Anionic active surfactants
127199,"0,2408",Kannika,24-Sep-15,Petroleum hydrocarbons
127200,0,Kannika,24-Sep-15,Atrazine
127201,0,Kannika,24-Sep-15,"p,p-DDT"
127202,0,Kannika,24-Sep-15,gamma-Hexachlorocyclohexane
