,value,location,sample date,measure
63531,"33,4",Sakda,7-Jul-07,Chemical Oxygen Demand (Cr)
63532,"2,46",Sakda,7-Jul-07,Chemical Oxygen Demand (Mn)
63533,"2,941",Sakda,7-Jul-07,Petroleum hydrocarbons
63534,"0,06",Sakda,7-Jul-07,Atrazine
63535,"0,06",Sakda,7-Jul-07,Simazine
63536,"0,02",Sakda,7-Jul-07,Alachlor
63537,"0,005",Sakda,7-Jul-07,Metolachlor
63538,"0,005",Sakda,7-Jul-07,Heptachloroepoxide
63539,"0,005",Sakda,7-Jul-07,Heptachlor
63540,"0,005",Sakda,7-Jul-07,Endosulfan (alpha)
63541,"0,01",Sakda,7-Jul-07,Endosulfan (beta)
63542,"0,02",Sakda,7-Jul-07,"p,p-DDT"
63543,"0,011",Sakda,7-Jul-07,"p,p-DDD"
63544,"0,005",Sakda,7-Jul-07,"p,p-DDE"
63545,"0,005",Sakda,7-Jul-07,alpha-Hexachlorocyclohexane
63546,"0,005",Sakda,7-Jul-07,beta-Hexaxchlorocyclohexane
63547,"0,005",Sakda,7-Jul-07,gamma-Hexachlorocyclohexane
63548,"0,005",Sakda,7-Jul-07,Aldrin
63549,"0,005",Sakda,7-Jul-07,Dieldrin
63550,"0,005",Sakda,7-Jul-07,Endrin
63551,"2,08",Sakda,7-Jul-07,Macrozoobenthos
63552,"0,23",Sakda,7-Jul-07,Total coliforms
63553,"0,13",Sakda,7-Jul-07,Fecal coliforms
63554,"0,017",Sakda,7-Jul-07,Fecal streptococci 
63555,24,Sakda,7-Jul-07,Water temperature
63556,"7,4",Sakda,7-Jul-07,Dissolved oxygen
63557,"88,7",Sakda,7-Jul-07,Oxygen saturation
63558,"112,2",Sakda,7-Jul-07,Total hardness
63559,176,Sakda,7-Jul-07,Bicarbonates
63560,265,Sakda,7-Jul-07,Total dissolved salts
63561,"0,293",Sakda,7-Jul-07,Ammonium
63562,"0,005",Sakda,7-Jul-07,Nitrites
63563,"0,255",Sakda,7-Jul-07,Nitrates
63564,"0,663",Sakda,7-Jul-07,Total nitrogen
