,value,location,sample date,measure
122166,"12,5",Achara,17-Jan-15,Dissolved oxygen
122167,100,Achara,17-Jan-15,Oxygen saturation
122168,"160,1",Achara,17-Jan-15,Total hardness
122169,"0,316",Achara,17-Jan-15,Ammonium
122170,"0,041",Achara,17-Jan-15,Nitrites
122171,"1,75",Achara,17-Jan-15,Nitrates
122172,"2,16",Achara,17-Jan-15,Total nitrogen
122173,"0,025",Achara,17-Jan-15,Orthophosphate-phosphorus
122174,"0,046",Achara,17-Jan-15,Total phosphorus
122175,"1,4",Achara,17-Jan-15,Dissolved silicates
122176,"49,8",Achara,17-Jan-15,Calcium
122177,"8,7",Achara,17-Jan-15,Magnesium
122178,"19,1",Achara,17-Jan-15,Chlorides
122179,0,Achara,17-Jan-15,Mercury
122180,"2,3",Achara,17-Jan-15,Biochemical Oxygen
122181,5,Achara,17-Jan-15,Chemical Oxygen Demand (Cr)
122182,"2,35",Achara,17-Jan-15,Total organic carbon
122183,0,Achara,17-Jan-15,Petroleum hydrocarbons
122184,0,Achara,17-Jan-15,Atrazine
122185,0,Achara,17-Jan-15,"p,p-DDT"
122186,0,Achara,17-Jan-15,gamma-Hexachlorocyclohexane
122187,3,Boonsri,21-Jan-15,Water temperature
122188,"0,076",Boonsri,21-Jan-15,Ammonium
122189,"0,016",Boonsri,21-Jan-15,Nitrites
122190,"1,371",Boonsri,21-Jan-15,Nitrates
122191,"2,04",Boonsri,21-Jan-15,Total nitrogen
122192,"0,034",Boonsri,21-Jan-15,Orthophosphate-phosphorus
122193,"0,148",Boonsri,21-Jan-15,Total phosphorus
122194,"0,091",Boonsri,21-Jan-15,Total dissolved phosphorus
122195,"1,95",Boonsri,21-Jan-15,Biochemical Oxygen
122196,"5,967",Boonsri,21-Jan-15,Total organic carbon
122197,0,Boonsri,21-Jan-15,Atrazine
122198,0,Boonsri,21-Jan-15,"p,p-DDT"
122199,0,Boonsri,21-Jan-15,gamma-Hexachlorocyclohexane
122200,3,Tansanee,22-Jan-15,Water temperature
122201,"8,92",Tansanee,22-Jan-15,Dissolved oxygen
122202,"66,17",Tansanee,22-Jan-15,Oxygen saturation
122203,"368,368",Tansanee,22-Jan-15,Total hardness
122204,"325,13",Tansanee,22-Jan-15,Bicarbonates
122205,993,Tansanee,22-Jan-15,Total dissolved salts
122206,"3,534",Tansanee,22-Jan-15,Ammonium
122207,"0,161",Tansanee,22-Jan-15,Nitrites
122208,"1,714",Tansanee,22-Jan-15,Nitrates
122209,"8,07",Tansanee,22-Jan-15,Total nitrogen
122210,"0,03",Tansanee,22-Jan-15,Orthophosphate-phosphorus
122211,"0,196",Tansanee,22-Jan-15,Total phosphorus
122212,"121,04",Tansanee,22-Jan-15,Calcium
122213,"16,05",Tansanee,22-Jan-15,Magnesium
122214,"294,827",Tansanee,22-Jan-15,Chlorides
122215,"111,572",Tansanee,22-Jan-15,Sulphates
122216,"0,124",Tansanee,22-Jan-15,Manganese
122217,15,Tansanee,22-Jan-15,Zinc
122218,0,Tansanee,22-Jan-15,Arsenic
122219,"17,95",Tansanee,22-Jan-15,Biochemical Oxygen
122220,"104,57",Tansanee,22-Jan-15,Chemical Oxygen Demand (Cr)
122221,"3,66",Tansanee,22-Jan-15,Total organic carbon
122222,0,Tansanee,22-Jan-15,Anionic active surfactants
122223,0,Tansanee,22-Jan-15,Petroleum hydrocarbons
122224,0,Tansanee,22-Jan-15,Atrazine
122225,0,Tansanee,22-Jan-15,"p,p-DDT"
122226,0,Tansanee,22-Jan-15,gamma-Hexachlorocyclohexane
122227,"0,26",Somchair,24-Jan-15,AGOC-3A
122228,"0,323",Somchair,24-Jan-15,Methylosmoline
122229,"0,263",Somchair,24-Jan-15,Chlorodinine
122230,"0,302",Busarakhan,24-Jan-15,AGOC-3A
122231,"0,298",Busarakhan,24-Jan-15,Methylosmoline
122232,"0,292",Busarakhan,24-Jan-15,Chlorodinine
122233,"3,5",Kohsoom,28-Jan-15,Water temperature
122234,9,Kohsoom,28-Jan-15,Dissolved oxygen
122235,"69,9",Kohsoom,28-Jan-15,Oxygen saturation
122236,"319,981",Kohsoom,28-Jan-15,Total hardness
122237,"293,96",Kohsoom,28-Jan-15,Bicarbonates
122238,456,Kohsoom,28-Jan-15,Total dissolved salts
122239,"4,141",Kohsoom,28-Jan-15,Ammonium
122240,"0,0861",Kohsoom,28-Jan-15,Nitrites
122241,"1,46",Kohsoom,28-Jan-15,Nitrates
122242,"6,354",Kohsoom,28-Jan-15,Total nitrogen
122243,"0,2228",Kohsoom,28-Jan-15,Orthophosphate-phosphorus
122244,"0,3033",Kohsoom,28-Jan-15,Total phosphorus
122245,"0,2258",Kohsoom,28-Jan-15,Total dissolved phosphorus
122246,"36,8",Kohsoom,28-Jan-15,Sodium
122247,"4,7",Kohsoom,28-Jan-15,Potassium
122248,"91,08",Kohsoom,28-Jan-15,Calcium
122249,"18,22",Kohsoom,28-Jan-15,Magnesium
122250,"57,96",Kohsoom,28-Jan-15,Chlorides
122251,"77,491",Kohsoom,28-Jan-15,Sulphates
122252,"0,0491",Kohsoom,28-Jan-15,Manganese
122253,6,Kohsoom,28-Jan-15,Biochemical Oxygen
122254,"35,64",Kohsoom,28-Jan-15,Chemical Oxygen Demand (Cr)
122255,8,Kohsoom,28-Jan-15,Chemical Oxygen Demand (Mn)
122256,"7,212",Kohsoom,28-Jan-15,Total organic carbon
122257,"0,171",Kohsoom,28-Jan-15,Anionic active surfactants
122258,0,Kohsoom,28-Jan-15,Petroleum hydrocarbons
122259,0,Kohsoom,28-Jan-15,Atrazine
