,value,location,sample date,measure
92850,"0,59",Chai,13-Oct-10,Iron
92851,"0,022",Chai,13-Oct-10,Manganese
92852,"0,017",Chai,13-Oct-10,Manganese
92853,"7,3",Chai,13-Oct-10,Zinc
92854,"4,1",Chai,13-Oct-10,Copper
92855,"5,5",Chai,13-Oct-10,Chromium
92856,"0,9",Chai,13-Oct-10,Lead
92857,"0,21",Chai,13-Oct-10,Cadmium
92858,"0,06",Chai,13-Oct-10,Mercury
92859,"1,5",Chai,13-Oct-10,Nickel
92860,"0,97",Chai,13-Oct-10,Arsenic
92861,"2,2",Chai,13-Oct-10,Biochemical Oxygen
92862,"18,81",Chai,13-Oct-10,Chemical Oxygen Demand (Cr)
92863,"2,21",Chai,13-Oct-10,Chemical Oxygen Demand (Mn)
92864,"0,34",Chai,13-Oct-10,Petroleum hydrocarbons
92865,"0,025",Chai,13-Oct-10,Tetrachloromethane
92866,"0,5",Chai,13-Oct-10,Atrazine
92867,"0,05",Chai,13-Oct-10,gamma-Hexachlorocyclohexane
92868,20,Chai,13-Oct-10,Water temperature
92869,"8,9",Chai,13-Oct-10,Dissolved oxygen
92870,"98,66",Chai,13-Oct-10,Oxygen saturation
92871,285,Chai,13-Oct-10,Total dissolved salts
92872,"0,172",Chai,13-Oct-10,Ammonium
92873,"0,005",Chai,13-Oct-10,Nitrites
92874,"1,54",Chai,13-Oct-10,Nitrates
92875,"2,05",Chai,13-Oct-10,Total nitrogen
92876,"0,019",Chai,13-Oct-10,Orthophosphate-phosphorus
92877,"0,134",Chai,13-Oct-10,Total phosphorus
92878,"5,769",Chai,13-Oct-10,Silica (SiO2)
92879,"55,01",Chai,13-Oct-10,Calcium
92880,"7,05",Chai,13-Oct-10,Magnesium
92881,"34,4",Chai,13-Oct-10,Chlorides
92882,"25,7",Chai,13-Oct-10,Sulphates
92883,"0,8",Chai,13-Oct-10,Iron
92884,"0,021",Chai,13-Oct-10,Manganese
92885,"0,012",Chai,13-Oct-10,Manganese
92886,"7,9",Chai,13-Oct-10,Zinc
92887,"4,4",Chai,13-Oct-10,Copper
92888,"4,7",Chai,13-Oct-10,Chromium
92889,"0,93",Chai,13-Oct-10,Lead
92890,"0,19",Chai,13-Oct-10,Cadmium
92891,"0,067",Chai,13-Oct-10,Mercury
92892,"1,4",Chai,13-Oct-10,Nickel
92893,"0,9",Chai,13-Oct-10,Arsenic
92894,"2,3",Chai,13-Oct-10,Biochemical Oxygen
92895,"23,52",Chai,13-Oct-10,Chemical Oxygen Demand (Cr)
92896,"2,72",Chai,13-Oct-10,Chemical Oxygen Demand (Mn)
92897,"0,34",Chai,13-Oct-10,Petroleum hydrocarbons
92898,"0,025",Chai,13-Oct-10,Tetrachloromethane
92899,"0,5",Chai,13-Oct-10,Atrazine
92900,"0,05",Chai,13-Oct-10,gamma-Hexachlorocyclohexane
92901,20,Chai,13-Oct-10,Water temperature
92902,"8,4",Chai,13-Oct-10,Dissolved oxygen
92903,"93,12",Chai,13-Oct-10,Oxygen saturation
92904,287,Chai,13-Oct-10,Total dissolved salts
92905,"0,144",Chai,13-Oct-10,Ammonium
92906,"0,006",Chai,13-Oct-10,Nitrites
92907,"1,54",Chai,13-Oct-10,Nitrates
92908,"2,03",Chai,13-Oct-10,Total nitrogen
92909,"0,02",Chai,13-Oct-10,Orthophosphate-phosphorus
92910,"0,142",Chai,13-Oct-10,Total phosphorus
92911,"6,18",Chai,13-Oct-10,Silica (SiO2)
92912,"51,08",Chai,13-Oct-10,Calcium
92913,"11,9",Chai,13-Oct-10,Magnesium
92914,"34,4",Chai,13-Oct-10,Chlorides
92915,"25,3",Chai,13-Oct-10,Sulphates
92916,"0,82",Chai,13-Oct-10,Iron
92917,"0,027",Chai,13-Oct-10,Manganese
92918,"0,015",Chai,13-Oct-10,Manganese
92919,8,Chai,13-Oct-10,Zinc
92920,5,Chai,13-Oct-10,Copper
92921,5,Chai,13-Oct-10,Chromium
92922,"0,94",Chai,13-Oct-10,Lead
92923,"0,23",Chai,13-Oct-10,Cadmium
