,value,location,sample date,measure
87964,"12,79",Boonsri,18-Feb-10,Chemical Oxygen Demand (Cr)
87965,"2,53",Boonsri,18-Feb-10,Chemical Oxygen Demand (Mn)
87966,"0,05",Boonsri,18-Feb-10,Anionic active surfactants
87967,"0,1",Boonsri,18-Feb-10,Petroleum hydrocarbons
87968,16,Boonsri,18-Feb-10,AOX
87969,"0,025",Boonsri,18-Feb-10,Tetrachloromethane
87970,"0,003",Boonsri,18-Feb-10,"p,p-DDT"
87971,"0,003",Boonsri,18-Feb-10,gamma-Hexachlorocyclohexane
87972,"3,3",Boonsri,18-Feb-10,Total coliforms
87973,"0,17",Boonsri,18-Feb-10,Fecal coliforms
87974,"0,033",Boonsri,18-Feb-10,Fecal streptococci 
87975,1,Boonsri,18-Feb-10,Water temperature
87976,"12,46",Boonsri,18-Feb-10,Dissolved oxygen
87977,"92,99",Boonsri,18-Feb-10,Oxygen saturation
87978,"108,64",Boonsri,18-Feb-10,Total hardness
87979,"213,5",Boonsri,18-Feb-10,Bicarbonates
87980,251,Boonsri,18-Feb-10,Total dissolved salts
87981,"0,108",Boonsri,18-Feb-10,Ammonium
87982,"0,014",Boonsri,18-Feb-10,Nitrites
87983,"2,124",Boonsri,18-Feb-10,Nitrates
87984,"0,1",Boonsri,18-Feb-10,Orthophosphate-phosphorus
87985,"0,14",Boonsri,18-Feb-10,Total phosphorus
87986,"7,492",Boonsri,18-Feb-10,Silica (SiO2)
87987,19,Boonsri,18-Feb-10,Sodium
87988,2,Boonsri,18-Feb-10,Potassium
87989,"48,58",Boonsri,18-Feb-10,Calcium
87990,"17,46",Boonsri,18-Feb-10,Magnesium
87991,"23,86",Boonsri,18-Feb-10,Chlorides
87992,"22,68",Boonsri,18-Feb-10,Sulphates
87993,"0,05",Boonsri,18-Feb-10,Manganese
87994,"2,05",Boonsri,18-Feb-10,Biochemical Oxygen
87995,"14,76",Boonsri,18-Feb-10,Chemical Oxygen Demand (Cr)
87996,"3,08",Boonsri,18-Feb-10,Chemical Oxygen Demand (Mn)
87997,"0,05",Boonsri,18-Feb-10,Anionic active surfactants
87998,"0,1",Boonsri,18-Feb-10,Petroleum hydrocarbons
87999,"17,5",Boonsri,18-Feb-10,AOX
88000,"0,025",Boonsri,18-Feb-10,Tetrachloromethane
88001,"0,003",Boonsri,18-Feb-10,"p,p-DDT"
88002,"0,003",Boonsri,18-Feb-10,gamma-Hexachlorocyclohexane
88003,"4,9",Boonsri,18-Feb-10,Total coliforms
88004,"0,7",Boonsri,18-Feb-10,Fecal coliforms
88005,"0,034",Boonsri,18-Feb-10,Fecal streptococci 
88006,"2,5",Kohsoom,18-Feb-10,Water temperature
88007,"9,15",Kohsoom,18-Feb-10,Dissolved oxygen
88008,"69,2",Kohsoom,18-Feb-10,Oxygen saturation
88009,"130,2",Kohsoom,18-Feb-10,Total hardness
88010,"217,8",Kohsoom,18-Feb-10,Bicarbonates
88011,302,Kohsoom,18-Feb-10,Total dissolved salts
88012,"3,174",Kohsoom,18-Feb-10,Ammonium
88013,"0,067",Kohsoom,18-Feb-10,Nitrites
88014,"1,24",Kohsoom,18-Feb-10,Nitrates
88015,"0,0538",Kohsoom,18-Feb-10,Orthophosphate-phosphorus
88016,"0,113",Kohsoom,18-Feb-10,Total phosphorus
88017,"9,073",Kohsoom,18-Feb-10,Silica (SiO2)
88018,"26,7",Kohsoom,18-Feb-10,Sodium
88019,"3,3",Kohsoom,18-Feb-10,Potassium
88020,"61,8",Kohsoom,18-Feb-10,Calcium
88021,"18,7",Kohsoom,18-Feb-10,Magnesium
88022,"45,5",Kohsoom,18-Feb-10,Chlorides
88023,"56,9",Kohsoom,18-Feb-10,Sulphates
88024,"0,076",Kohsoom,18-Feb-10,Manganese
88025,"24,6",Kohsoom,18-Feb-10,Zinc
88026,"6,5",Kohsoom,18-Feb-10,Copper
88027,"4,2",Kohsoom,18-Feb-10,Chromium
88028,"4,3",Kohsoom,18-Feb-10,Lead
88029,"0,126",Kohsoom,18-Feb-10,Cadmium
88030,"0,328",Kohsoom,18-Feb-10,Mercury
88031,"5,6",Kohsoom,18-Feb-10,Nickel
88032,"2,1",Kohsoom,18-Feb-10,Arsenic
88033,"3,78",Kohsoom,18-Feb-10,Biochemical Oxygen
88034,"10,2",Kohsoom,18-Feb-10,Chemical Oxygen Demand (Cr)
88035,"5,05",Kohsoom,18-Feb-10,Chemical Oxygen Demand (Mn)
88036,"0,085",Kohsoom,18-Feb-10,Anionic active surfactants
88037,"0,05",Kohsoom,18-Feb-10,Petroleum hydrocarbons
88038,32,Kohsoom,18-Feb-10,AOX
88039,"0,025",Kohsoom,18-Feb-10,Tetrachloromethane
88040,"0,003",Kohsoom,18-Feb-10,"p,p-DDT"
88041,"0,003",Kohsoom,18-Feb-10,gamma-Hexachlorocyclohexane
88042,1300,Kohsoom,18-Feb-10,Total coliforms
88043,172,Kohsoom,18-Feb-10,Fecal coliforms
88044,130,Kohsoom,18-Feb-10,Fecal streptococci 
88045,1,Decha,19-Feb-10,Water temperature
88046,"12,7",Decha,19-Feb-10,Dissolved oxygen
88047,294,Decha,19-Feb-10,Total dissolved salts
88048,"0,331",Decha,19-Feb-10,Ammonium
88049,"0,023",Decha,19-Feb-10,Nitrites
88050,"1,181",Decha,19-Feb-10,Nitrates
88051,"2,49",Decha,19-Feb-10,Total nitrogen
88052,"1,535",Decha,19-Feb-10,Inorganic nitrogen
88053,"0,018",Decha,19-Feb-10,Orthophosphate-phosphorus
88054,"0,078",Decha,19-Feb-10,Total phosphorus
88055,"21,57",Decha,19-Feb-10,Dissolved silicates
88056,"76,15",Decha,19-Feb-10,Calcium
88057,16,Decha,19-Feb-10,Magnesium
88058,"76,43",Decha,19-Feb-10,Chlorides
88059,"51,868",Decha,19-Feb-10,Sulphates
88060,"2,189",Decha,19-Feb-10,Cyanides
88061,"1,736",Decha,19-Feb-10,Iron
88062,"0,639",Decha,19-Feb-10,Manganese
88063,"0,578",Decha,19-Feb-10,Manganese
88064,549,Decha,19-Feb-10,Zinc
88065,"17,81",Decha,19-Feb-10,Copper
88066,13,Decha,19-Feb-10,Chromium
88067,"2,5",Decha,19-Feb-10,Nickel
88068,"4,8",Decha,19-Feb-10,Biochemical Oxygen
88069,"18,54",Decha,19-Feb-10,Chemical Oxygen Demand (Cr)
88070,"10,7",Decha,19-Feb-10,Chemical Oxygen Demand (Mn)
88071,5,Achara,20-Feb-10,Water temperature
88072,"14,3",Achara,20-Feb-10,Dissolved oxygen
88073,"0,062",Achara,20-Feb-10,Ammonium
88074,"0,01216",Achara,20-Feb-10,Nitrites
88075,"0,73676",Achara,20-Feb-10,Nitrates
88076,"0,96",Achara,20-Feb-10,Total nitrogen
88077,"0,15",Achara,20-Feb-10,Organic nitrogen
88078,"0,811",Achara,20-Feb-10,Inorganic nitrogen
88079,"0,1",Achara,20-Feb-10,Orthophosphate-phosphorus
88080,"0,12",Achara,20-Feb-10,Total phosphorus
88081,"8,533",Achara,20-Feb-10,Dissolved silicates
88082,"31,1",Achara,20-Feb-10,Calcium
88083,"5,6",Achara,20-Feb-10,Magnesium
88084,6,Achara,20-Feb-10,Chlorides
88085,9,Achara,20-Feb-10,Zinc
88086,"2,9",Achara,20-Feb-10,Copper
88087,"0,3",Achara,20-Feb-10,Chromium
88088,"0,5",Achara,20-Feb-10,Lead
88089,"0,25",Achara,20-Feb-10,Cadmium
88090,1,Achara,20-Feb-10,Mercury
88091,"1,2",Achara,20-Feb-10,Nickel
88092,"0,5",Achara,20-Feb-10,Arsenic
88093,1,Achara,20-Feb-10,Biochemical Oxygen
88094,5,Achara,20-Feb-10,Chemical Oxygen Demand (Cr)
88095,"2,1",Achara,20-Feb-10,Chemical Oxygen Demand (Mn)
88096,4,Chai,20-Feb-10,Water temperature
88097,"12,1",Chai,20-Feb-10,Dissolved oxygen
88098,"92,16",Chai,20-Feb-10,Oxygen saturation
88099,298,Chai,20-Feb-10,Total dissolved salts
88100,"0,169",Chai,20-Feb-10,Ammonium
88101,"0,04",Chai,20-Feb-10,Nitrites
88102,"2,65",Chai,20-Feb-10,Nitrates
88103,"3,45",Chai,20-Feb-10,Total nitrogen
88104,"0,056",Chai,20-Feb-10,Orthophosphate-phosphorus
88105,"0,0985",Chai,20-Feb-10,Total phosphorus
88106,"9,264",Chai,20-Feb-10,Silica (SiO2)
88107,"68,7",Chai,20-Feb-10,Calcium
88108,"20,91",Chai,20-Feb-10,Magnesium
88109,"35,5",Chai,20-Feb-10,Chlorides
88110,"26,1",Chai,20-Feb-10,Sulphates
88111,"0,004",Chai,20-Feb-10,Cyanides
88112,7,Chai,20-Feb-10,Zinc
88113,"5,1",Chai,20-Feb-10,Copper
88114,"5,5",Chai,20-Feb-10,Chromium
88115,"2,8",Chai,20-Feb-10,Lead
88116,"0,11",Chai,20-Feb-10,Cadmium
88117,"0,041",Chai,20-Feb-10,Mercury
88118,"1,1",Chai,20-Feb-10,Nickel
88119,"0,92",Chai,20-Feb-10,Arsenic
88120,"2,4",Chai,20-Feb-10,Biochemical Oxygen
88121,"19,44",Chai,20-Feb-10,Chemical Oxygen Demand (Cr)
88122,"2,5",Chai,20-Feb-10,Chemical Oxygen Demand (Mn)
88123,"0,053",Chai,20-Feb-10,Anionic active surfactants
88124,"0,025",Chai,20-Feb-10,Tetrachloromethane
88125,"0,5",Chai,20-Feb-10,Atrazine
88126,"0,05",Chai,20-Feb-10,gamma-Hexachlorocyclohexane
88127,4,Chai,20-Feb-10,Water temperature
88128,"12,3",Chai,20-Feb-10,Dissolved oxygen
88129,"93,68",Chai,20-Feb-10,Oxygen saturation
88130,294,Chai,20-Feb-10,Total dissolved salts
88131,"0,132",Chai,20-Feb-10,Ammonium
88132,"0,042",Chai,20-Feb-10,Nitrites
88133,"2,68",Chai,20-Feb-10,Nitrates
88134,"3,45",Chai,20-Feb-10,Total nitrogen
88135,"0,062",Chai,20-Feb-10,Orthophosphate-phosphorus
88136,"0,1062",Chai,20-Feb-10,Total phosphorus
88137,"8,99",Chai,20-Feb-10,Silica (SiO2)
88138,"68,7",Chai,20-Feb-10,Calcium
88139,"18,48",Chai,20-Feb-10,Magnesium
88140,"35,5",Chai,20-Feb-10,Chlorides
88141,"25,4",Chai,20-Feb-10,Sulphates
88142,"0,004",Chai,20-Feb-10,Cyanides
88143,"6,1",Chai,20-Feb-10,Zinc
88144,"4,9",Chai,20-Feb-10,Copper
88145,"6,8",Chai,20-Feb-10,Chromium
88146,"3,2",Chai,20-Feb-10,Lead
88147,"0,14",Chai,20-Feb-10,Cadmium
88148,"0,04",Chai,20-Feb-10,Mercury
88149,"1,3",Chai,20-Feb-10,Nickel
88150,"0,97",Chai,20-Feb-10,Arsenic
88151,"2,1",Chai,20-Feb-10,Biochemical Oxygen
88152,"24,3",Chai,20-Feb-10,Chemical Oxygen Demand (Cr)
88153,"2,33",Chai,20-Feb-10,Chemical Oxygen Demand (Mn)
88154,"0,053",Chai,20-Feb-10,Anionic active surfactants
88155,"0,025",Chai,20-Feb-10,Tetrachloromethane
88156,"0,5",Chai,20-Feb-10,Atrazine
88157,"0,05",Chai,20-Feb-10,gamma-Hexachlorocyclohexane
88158,4,Chai,20-Feb-10,Water temperature
88159,"12,4",Chai,20-Feb-10,Dissolved oxygen
88160,"94,44",Chai,20-Feb-10,Oxygen saturation
88161,286,Chai,20-Feb-10,Total dissolved salts
88162,"0,231",Chai,20-Feb-10,Ammonium
88163,"0,048",Chai,20-Feb-10,Nitrites
88164,"2,57",Chai,20-Feb-10,Nitrates
88165,"3,41",Chai,20-Feb-10,Total nitrogen
88166,"0,068",Chai,20-Feb-10,Orthophosphate-phosphorus
88167,"0,1006",Chai,20-Feb-10,Total phosphorus
88168,"8,653",Chai,20-Feb-10,Silica (SiO2)
88169,"61,07",Chai,20-Feb-10,Calcium
88170,"16,29",Chai,20-Feb-10,Magnesium
88171,"35,5",Chai,20-Feb-10,Chlorides
88172,"28,1",Chai,20-Feb-10,Sulphates
88173,"0,004",Chai,20-Feb-10,Cyanides
88174,"7,3",Chai,20-Feb-10,Zinc
88175,5,Chai,20-Feb-10,Copper
88176,7,Chai,20-Feb-10,Chromium
88177,"2,6",Chai,20-Feb-10,Lead
88178,"0,11",Chai,20-Feb-10,Cadmium
88179,"0,042",Chai,20-Feb-10,Mercury
88180,"1,4",Chai,20-Feb-10,Nickel
88181,"1,1",Chai,20-Feb-10,Arsenic
88182,"1,9",Chai,20-Feb-10,Biochemical Oxygen
88183,"24,3",Chai,20-Feb-10,Chemical Oxygen Demand (Cr)
88184,"2,83",Chai,20-Feb-10,Chemical Oxygen Demand (Mn)
88185,"0,053",Chai,20-Feb-10,Anionic active surfactants
88186,"0,025",Chai,20-Feb-10,Tetrachloromethane
88187,"0,5",Chai,20-Feb-10,Atrazine
88188,"0,05",Chai,20-Feb-10,gamma-Hexachlorocyclohexane
88189,"0,062",Achara,21-Feb-10,Ammonium
88190,"0,01216",Achara,21-Feb-10,Nitrites
88191,"0,97406",Achara,21-Feb-10,Nitrates
88192,"0,15",Achara,21-Feb-10,Organic nitrogen
88193,"1,048",Achara,21-Feb-10,Inorganic nitrogen
88194,"0,09",Achara,21-Feb-10,Orthophosphate-phosphorus
88195,"0,13",Achara,21-Feb-10,Total phosphorus
88196,"8,073",Achara,21-Feb-10,Dissolved silicates
88197,2,Tansanee,22-Feb-10,Water temperature
88198,"2,325",Tansanee,22-Feb-10,Ammonium
88199,"0,451",Tansanee,22-Feb-10,Nitrites
88200,"9,9",Tansanee,22-Feb-10,Nitrates
88201,"12,676",Tansanee,22-Feb-10,Inorganic nitrogen
88202,"0,088",Tansanee,22-Feb-10,Orthophosphate-phosphorus
88203,"0,377",Tansanee,22-Feb-10,Total phosphorus
88204,"8,341",Tansanee,22-Feb-10,Dissolved silicates
88205,5,Chai,28-Feb-10,Water temperature
88206,"12,2",Chai,28-Feb-10,Dissolved oxygen
88207,"95,39",Chai,28-Feb-10,Oxygen saturation
88208,298,Chai,28-Feb-10,Total dissolved salts
88209,"0,258",Chai,28-Feb-10,Ammonium
88210,"0,027",Chai,28-Feb-10,Nitrites
88211,"1,98",Chai,28-Feb-10,Nitrates
88212,"3,4",Chai,28-Feb-10,Total nitrogen
88213,"0,065",Chai,28-Feb-10,Orthophosphate-phosphorus
88214,"0,1184",Chai,28-Feb-10,Total phosphorus
88215,"8,12",Chai,28-Feb-10,Silica (SiO2)
88216,"25,1",Chai,28-Feb-10,Sulphates
88217,"2,7",Chai,28-Feb-10,Biochemical Oxygen
88218,"23,52",Chai,28-Feb-10,Chemical Oxygen Demand (Cr)
88219,5,Chai,28-Feb-10,Water temperature
88220,"12,4",Chai,28-Feb-10,Dissolved oxygen
88221,"96,95",Chai,28-Feb-10,Oxygen saturation
88222,293,Chai,28-Feb-10,Total dissolved salts
88223,"0,165",Chai,28-Feb-10,Ammonium
88224,"0,023",Chai,28-Feb-10,Nitrites
88225,"2,06",Chai,28-Feb-10,Nitrates
88226,"2,68",Chai,28-Feb-10,Total nitrogen
88227,"0,063",Chai,28-Feb-10,Orthophosphate-phosphorus
88228,"0,1475",Chai,28-Feb-10,Total phosphorus
88229,"8,053",Chai,28-Feb-10,Silica (SiO2)
88230,"27,4",Chai,28-Feb-10,Sulphates
88231,"2,2",Chai,28-Feb-10,Biochemical Oxygen
88232,"23,52",Chai,28-Feb-10,Chemical Oxygen Demand (Cr)
88233,5,Chai,28-Feb-10,Water temperature
88234,"12,3",Chai,28-Feb-10,Dissolved oxygen
88235,"96,17",Chai,28-Feb-10,Oxygen saturation
88236,284,Chai,28-Feb-10,Total dissolved salts
88237,"0,137",Chai,28-Feb-10,Ammonium
88238,"0,022",Chai,28-Feb-10,Nitrites
88239,"2,04",Chai,28-Feb-10,Nitrates
88240,"2,75",Chai,28-Feb-10,Total nitrogen
88241,"0,065",Chai,28-Feb-10,Orthophosphate-phosphorus
88242,"0,1189",Chai,28-Feb-10,Total phosphorus
88243,"7,45",Chai,28-Feb-10,Silica (SiO2)
88244,"26,3",Chai,28-Feb-10,Sulphates
88245,"2,3",Chai,28-Feb-10,Biochemical Oxygen
88246,"18,82",Chai,28-Feb-10,Chemical Oxygen Demand (Cr)
88247,6,Tansanee,5-Mar-10,Water temperature
88248,"0,845",Tansanee,5-Mar-10,Ammonium
88249,"0,188",Tansanee,5-Mar-10,Nitrites
88250,"2,1",Tansanee,5-Mar-10,Nitrates
88251,"3,133",Tansanee,5-Mar-10,Inorganic nitrogen
88252,"0,159",Tansanee,5-Mar-10,Orthophosphate-phosphorus
88253,"0,235",Tansanee,5-Mar-10,Total phosphorus
88254,"7,79",Tansanee,5-Mar-10,Dissolved silicates
88255,9,Tansanee,11-Mar-10,Water temperature
88256,"9,63",Tansanee,11-Mar-10,Dissolved oxygen
88257,"86,06",Tansanee,11-Mar-10,Oxygen saturation
88258,"369,7",Tansanee,11-Mar-10,Bicarbonates
88259,"2,698",Tansanee,11-Mar-10,Ammonium
88260,"0,216",Tansanee,11-Mar-10,Nitrites
88261,"4,765",Tansanee,11-Mar-10,Nitrates
88262,"7,679",Tansanee,11-Mar-10,Inorganic nitrogen
88263,"0,02",Tansanee,11-Mar-10,Orthophosphate-phosphorus
88264,"0,114",Tansanee,11-Mar-10,Total phosphorus
88265,"7,914",Tansanee,11-Mar-10,Dissolved silicates
88266,25,Tansanee,11-Mar-10,Zinc
88267,"6,46",Tansanee,11-Mar-10,Copper
88268,1,Tansanee,11-Mar-10,Chromium
88269,"1,5",Tansanee,11-Mar-10,Lead
88270,"0,25",Tansanee,11-Mar-10,Cadmium
88271,"3,5",Tansanee,11-Mar-10,Nickel
88272,"2,76",Tansanee,11-Mar-10,Biochemical Oxygen
88273,"64,53",Tansanee,11-Mar-10,Chemical Oxygen Demand (Cr)
88274,"8,9",Kannika,12-Mar-10,Water temperature
88275,"9,47",Kannika,12-Mar-10,Dissolved oxygen
88276,"81,77",Kannika,12-Mar-10,Oxygen saturation
88277,298,Kannika,12-Mar-10,Total dissolved salts
