,value,location,sample date,measure
97736,"22,4",Decha,17-Jun-11,Water temperature
97737,"7,8",Decha,17-Jun-11,Dissolved oxygen
97738,"92,09",Decha,17-Jun-11,Oxygen saturation
97739,"184,8",Decha,17-Jun-11,Bicarbonates
97740,398,Decha,17-Jun-11,Total dissolved salts
97741,"0,07",Decha,17-Jun-11,Ammonium
97742,"0,046",Decha,17-Jun-11,Nitrites
97743,"0,18",Decha,17-Jun-11,Nitrates
97744,"0,071",Decha,17-Jun-11,Orthophosphate-phosphorus
97745,"0,108",Decha,17-Jun-11,Total phosphorus
97746,"53,9",Decha,17-Jun-11,Calcium
97747,"11,8",Decha,17-Jun-11,Magnesium
97748,"58,2",Decha,17-Jun-11,Chlorides
97749,"84,9",Decha,17-Jun-11,Sulphates
97750,0,Decha,17-Jun-11,Cyanides
97751,"0,1",Decha,17-Jun-11,Iron
97752,"0,068",Decha,17-Jun-11,Manganese
97753,89,Decha,17-Jun-11,Zinc
97754,5,Decha,17-Jun-11,Copper
97755,17,Decha,17-Jun-11,Chromium
97756,"42,69",Decha,17-Jun-11,Lead
97757,"3,38",Decha,17-Jun-11,Cadmium
97758,0,Decha,17-Jun-11,Nickel
97759,1,Decha,17-Jun-11,Arsenic
97760,3,Decha,17-Jun-11,Biochemical Oxygen
97761,"12,87",Decha,17-Jun-11,Chemical Oxygen Demand (Cr)
97762,"5,4",Decha,17-Jun-11,Chemical Oxygen Demand (Mn)
97763,0,Decha,17-Jun-11,Anionic active surfactants
97764,"2,1",Decha,17-Jun-11,Macrozoobenthos
97765,"5,4",Decha,17-Jun-11,Total coliforms
97766,22,Achara,17-Jun-11,Water temperature
97767,"10,3",Achara,17-Jun-11,Dissolved oxygen
97768,"0,041",Achara,17-Jun-11,Ammonium
97769,"0,065",Achara,17-Jun-11,Nitrites
97770,"1,69",Achara,17-Jun-11,Nitrates
97771,"2,21",Achara,17-Jun-11,Total nitrogen
97772,0,Achara,17-Jun-11,Organic nitrogen
97773,"0,196",Achara,17-Jun-11,Orthophosphate-phosphorus
97774,"0,256",Achara,17-Jun-11,Total phosphorus
97775,0,Achara,17-Jun-11,Dissolved silicates
97776,"31,3",Achara,17-Jun-11,Calcium
97777,"3,5",Achara,17-Jun-11,Magnesium
97778,"14,9",Achara,17-Jun-11,Chlorides
97779,6,Achara,17-Jun-11,Zinc
97780,"3,8",Achara,17-Jun-11,Copper
97781,0,Achara,17-Jun-11,Chromium
97782,1,Achara,17-Jun-11,Lead
97783,0,Achara,17-Jun-11,Cadmium
97784,0,Achara,17-Jun-11,Mercury
97785,"16,9",Achara,17-Jun-11,Nickel
97786,"1,2",Achara,17-Jun-11,Arsenic
97787,"5,5",Achara,17-Jun-11,Biochemical Oxygen
97788,9,Achara,17-Jun-11,Chemical Oxygen Demand (Cr)
97789,"2,8",Achara,17-Jun-11,Chemical Oxygen Demand (Mn)
97790,"23,5",Chai,18-Jun-11,Water temperature
97791,"7,45",Chai,18-Jun-11,Dissolved oxygen
97792,"88,47",Chai,18-Jun-11,Oxygen saturation
97793,"158,6",Chai,18-Jun-11,Bicarbonates
97794,207,Chai,18-Jun-11,Total dissolved salts
97795,"0,306",Chai,18-Jun-11,Ammonium
97796,"0,034",Chai,18-Jun-11,Nitrites
97797,1,Chai,18-Jun-11,Nitrates
97798,"0,025",Chai,18-Jun-11,Orthophosphate-phosphorus
97799,"0,038",Chai,18-Jun-11,Total phosphorus
97800,"14,6",Chai,18-Jun-11,Sodium
97801,"2,5",Chai,18-Jun-11,Potassium
97802,"58,84",Chai,18-Jun-11,Calcium
97803,"15,32",Chai,18-Jun-11,Magnesium
97804,"25,05",Chai,18-Jun-11,Chlorides
97805,"37,4",Chai,18-Jun-11,Sulphates
97806,"0,5",Chai,18-Jun-11,Iron
97807,0,Chai,18-Jun-11,Manganese
97808,"3,8",Chai,18-Jun-11,Zinc
97809,5,Chai,18-Jun-11,Copper
97810,"1,6",Chai,18-Jun-11,Chromium
97811,"5,8",Chai,18-Jun-11,Lead
97812,"0,12",Chai,18-Jun-11,Cadmium
97813,"0,035",Chai,18-Jun-11,Mercury
97814,"3,4",Chai,18-Jun-11,Nickel
97815,"1,6",Chai,18-Jun-11,Arsenic
97816,"3,17",Chai,18-Jun-11,Biochemical Oxygen
97817,"24,66",Chai,18-Jun-11,Chemical Oxygen Demand (Cr)
97818,"3,42",Chai,18-Jun-11,Chemical Oxygen Demand (Mn)
97819,0,Chai,18-Jun-11,Anionic active surfactants
97820,"23,5",Chai,18-Jun-11,Water temperature
97821,"8,55",Chai,18-Jun-11,Dissolved oxygen
97822,"101,5",Chai,18-Jun-11,Oxygen saturation
97823,"155,55",Chai,18-Jun-11,Bicarbonates
97824,207,Chai,18-Jun-11,Total dissolved salts
97825,"0,358",Chai,18-Jun-11,Ammonium
97826,"0,032",Chai,18-Jun-11,Nitrites
97827,"1,03",Chai,18-Jun-11,Nitrates
97828,"0,033",Chai,18-Jun-11,Orthophosphate-phosphorus
97829,"0,038",Chai,18-Jun-11,Total phosphorus
97830,"14,2",Chai,18-Jun-11,Sodium
97831,"2,9",Chai,18-Jun-11,Potassium
97832,"50,63",Chai,18-Jun-11,Calcium
97833,"15,32",Chai,18-Jun-11,Magnesium
97834,"19,97",Chai,18-Jun-11,Chlorides
97835,"35,2",Chai,18-Jun-11,Sulphates
97836,"0,5",Chai,18-Jun-11,Iron
97837,0,Chai,18-Jun-11,Manganese
97838,"4,1",Chai,18-Jun-11,Zinc
97839,"4,3",Chai,18-Jun-11,Copper
97840,"1,3",Chai,18-Jun-11,Chromium
97841,"5,1",Chai,18-Jun-11,Lead
97842,"0,14",Chai,18-Jun-11,Cadmium
97843,"0,048",Chai,18-Jun-11,Mercury
97844,"2,7",Chai,18-Jun-11,Nickel
97845,"1,6",Chai,18-Jun-11,Arsenic
97846,"3,4",Chai,18-Jun-11,Biochemical Oxygen
97847,"19,73",Chai,18-Jun-11,Chemical Oxygen Demand (Cr)
97848,"3,42",Chai,18-Jun-11,Chemical Oxygen Demand (Mn)
97849,0,Chai,18-Jun-11,Anionic active surfactants
97850,"23,5",Chai,18-Jun-11,Water temperature
97851,"9,85",Chai,18-Jun-11,Dissolved oxygen
97852,"116,9",Chai,18-Jun-11,Oxygen saturation
97853,"161,65",Chai,18-Jun-11,Bicarbonates
97854,206,Chai,18-Jun-11,Total dissolved salts
97855,"0,315",Chai,18-Jun-11,Ammonium
97856,"0,033",Chai,18-Jun-11,Nitrites
97857,"1,08",Chai,18-Jun-11,Nitrates
97858,"0,011",Chai,18-Jun-11,Orthophosphate-phosphorus
97859,"0,038",Chai,18-Jun-11,Total phosphorus
97860,"14,8",Chai,18-Jun-11,Sodium
97861,"2,8",Chai,18-Jun-11,Potassium
97862,"46,41",Chai,18-Jun-11,Calcium
97863,"17,99",Chai,18-Jun-11,Magnesium
97864,22,Chai,18-Jun-11,Chlorides
97865,"34,5",Chai,18-Jun-11,Sulphates
97866,"0,48",Chai,18-Jun-11,Iron
97867,0,Chai,18-Jun-11,Manganese
97868,4,Chai,18-Jun-11,Zinc
97869,"4,7",Chai,18-Jun-11,Copper
97870,"1,9",Chai,18-Jun-11,Chromium
97871,"4,7",Chai,18-Jun-11,Lead
97872,"0,14",Chai,18-Jun-11,Cadmium
97873,"0,05",Chai,18-Jun-11,Mercury
97874,"2,2",Chai,18-Jun-11,Nickel
97875,"1,7",Chai,18-Jun-11,Arsenic
97876,"2,75",Chai,18-Jun-11,Biochemical Oxygen
97877,"24,66",Chai,18-Jun-11,Chemical Oxygen Demand (Cr)
97878,"3,1",Chai,18-Jun-11,Chemical Oxygen Demand (Mn)
97879,0,Chai,18-Jun-11,Anionic active surfactants
97880,21,Kannika,18-Jun-11,Water temperature
97881,"7,82",Kannika,18-Jun-11,Dissolved oxygen
97882,"93,76",Kannika,18-Jun-11,Oxygen saturation
97883,"161,65",Kannika,18-Jun-11,Bicarbonates
97884,219,Kannika,18-Jun-11,Total dissolved salts
97885,"0,126",Kannika,18-Jun-11,Ammonium
97886,"0,038",Kannika,18-Jun-11,Nitrites
97887,"1,2",Kannika,18-Jun-11,Nitrates
97888,"1,63",Kannika,18-Jun-11,Total nitrogen
97889,"0,016",Kannika,18-Jun-11,Orthophosphate-phosphorus
97890,"0,046",Kannika,18-Jun-11,Total phosphorus
97891,"14,4",Kannika,18-Jun-11,Sodium
97892,"2,5",Kannika,18-Jun-11,Potassium
97893,"59,06",Kannika,18-Jun-11,Calcium
97894,"15,32",Kannika,18-Jun-11,Magnesium
97895,"22,68",Kannika,18-Jun-11,Chlorides
97896,"41,2",Kannika,18-Jun-11,Sulphates
97897,"0,5",Kannika,18-Jun-11,Iron
97898,0,Kannika,18-Jun-11,Manganese
97899,0,Kannika,18-Jun-11,Manganese
97900,"6,3",Kannika,18-Jun-11,Zinc
97901,"5,4",Kannika,18-Jun-11,Copper
97902,"2,1",Kannika,18-Jun-11,Chromium
97903,"1,4",Kannika,18-Jun-11,Lead
97904,"0,12",Kannika,18-Jun-11,Cadmium
97905,"0,059",Kannika,18-Jun-11,Mercury
97906,"1,9",Kannika,18-Jun-11,Nickel
97907,"1,6",Kannika,18-Jun-11,Arsenic
97908,"1,23",Kannika,18-Jun-11,Biochemical Oxygen
