,value,location,sample date,measure
53757,"0,287",Sakda,7-Sep-06,Endosulfan (beta)
53758,"0,017",Sakda,7-Sep-06,"p,p-DDT"
53759,"0,028",Sakda,7-Sep-06,"p,p-DDD"
53760,"0,02",Sakda,7-Sep-06,"p,p-DDE"
53761,"0,005",Sakda,7-Sep-06,alpha-Hexachlorocyclohexane
53762,"0,04",Sakda,7-Sep-06,beta-Hexaxchlorocyclohexane
53763,"0,043",Sakda,7-Sep-06,gamma-Hexachlorocyclohexane
53764,"0,071",Sakda,7-Sep-06,Aldrin
53765,"0,005",Sakda,7-Sep-06,Dieldrin
53766,"0,103",Sakda,7-Sep-06,Endrin
53767,19,Kannika,14-Sep-06,Water temperature
53768,"8,6",Kannika,14-Sep-06,Dissolved oxygen
53769,101,Kannika,14-Sep-06,Oxygen saturation
53770,"96,5",Kannika,14-Sep-06,Total hardness
53771,"170,8",Kannika,14-Sep-06,Bicarbonates
53772,272,Kannika,14-Sep-06,Total dissolved salts
53773,"0,706",Kannika,14-Sep-06,Ammonium
53774,"0,017",Kannika,14-Sep-06,Nitrites
53775,"1,02",Kannika,14-Sep-06,Nitrates
53776,"0,005",Kannika,14-Sep-06,Orthophosphate-phosphorus
53777,"0,101",Kannika,14-Sep-06,Total phosphorus
53778,"5,37",Kannika,14-Sep-06,Silica (SiO2)
53779,"51,7",Kannika,14-Sep-06,Calcium
53780,"10,4",Kannika,14-Sep-06,Magnesium
53781,"41,7",Kannika,14-Sep-06,Chlorides
53782,"28,15",Kannika,14-Sep-06,Sulphates
53783,"0,201",Kannika,14-Sep-06,Iron
53784,"0,06",Kannika,14-Sep-06,Manganese
53785,28,Kannika,14-Sep-06,Zinc
53786,"5,419",Kannika,14-Sep-06,Copper
53787,"0,765",Kannika,14-Sep-06,Chromium
53788,"3,865",Kannika,14-Sep-06,Lead
53789,"0,255",Kannika,14-Sep-06,Cadmium
53790,"0,025",Kannika,14-Sep-06,Mercury
53791,"1,671",Kannika,14-Sep-06,Nickel
53792,"1,7",Kannika,14-Sep-06,Biochemical Oxygen
53793,23,Kannika,14-Sep-06,Chemical Oxygen Demand (Cr)
53794,3,Kannika,14-Sep-06,Chemical Oxygen Demand (Mn)
53795,"5,882",Kannika,14-Sep-06,Petroleum hydrocarbons
53796,"0,234",Kannika,14-Sep-06,Atrazine
53797,"0,184",Kannika,14-Sep-06,Simazine
53798,"0,367",Kannika,14-Sep-06,Alachlor
53799,"0,1",Kannika,14-Sep-06,Metolachlor
53800,"0,005",Kannika,14-Sep-06,Heptachloroepoxide
53801,"0,01",Kannika,14-Sep-06,Heptachlor
53802,"0,055",Kannika,14-Sep-06,Endosulfan (alpha)
53803,"0,125",Kannika,14-Sep-06,Endosulfan (beta)
53804,"0,099",Kannika,14-Sep-06,"p,p-DDT"
53805,"0,024",Kannika,14-Sep-06,"p,p-DDD"
53806,"0,022",Kannika,14-Sep-06,"p,p-DDE"
53807,"0,01",Kannika,14-Sep-06,alpha-Hexachlorocyclohexane
53808,"0,038",Kannika,14-Sep-06,beta-Hexaxchlorocyclohexane
53809,"0,013",Kannika,14-Sep-06,gamma-Hexachlorocyclohexane
53810,"0,171",Kannika,14-Sep-06,Aldrin
53811,"0,005",Kannika,14-Sep-06,Dieldrin
