,value,location,sample date,measure
19548,0,Kannika,26-Mar-02,Atrazine
19549,"0,009",Kannika,26-Mar-02,"p,p-DDT"
19550,"7,5",Sakda,28-Mar-02,Water temperature
19551,"9,8",Sakda,28-Mar-02,Dissolved oxygen
19552,"79,9",Sakda,28-Mar-02,Bicarbonates
19553,"0,25",Sakda,28-Mar-02,Ammonium
19554,"0,005",Sakda,28-Mar-02,Nitrites
19555,"2,11",Sakda,28-Mar-02,Nitrates
19556,"0,03",Sakda,28-Mar-02,Orthophosphate-phosphorus
19557,"0,04",Sakda,28-Mar-02,Total phosphorus
19558,58,Sakda,28-Mar-02,Calcium
19559,"23,5",Sakda,28-Mar-02,Magnesium
19560,"33,8",Sakda,28-Mar-02,Chlorides
19561,"39,5",Sakda,28-Mar-02,Sulphates
19562,"1,03",Sakda,28-Mar-02,Iron
19563,"0,1",Sakda,28-Mar-02,Manganese
19564,27,Sakda,28-Mar-02,Zinc
19565,"47,4",Sakda,28-Mar-02,Copper
19566,"12,71",Sakda,28-Mar-02,Chromium
19567,"3,22",Sakda,28-Mar-02,Lead
19568,"2,37",Sakda,28-Mar-02,Cadmium
19569,"2,93",Sakda,28-Mar-02,Nickel
19570,"3,5",Sakda,28-Mar-02,Biochemical Oxygen
19571,26,Sakda,28-Mar-02,Chemical Oxygen Demand (Cr)
19572,"6,2",Sakda,28-Mar-02,Chemical Oxygen Demand (Mn)
19573,0,Sakda,28-Mar-02,Atrazine
19574,"0,29",Sakda,28-Mar-02,"p,p-DDT"
19575,"0,01",Sakda,28-Mar-02,gamma-Hexachlorocyclohexane
19576,"7,5",Sakda,28-Mar-02,Water temperature
19577,"8,7",Sakda,28-Mar-02,Dissolved oxygen
19578,"79,3",Sakda,28-Mar-02,Bicarbonates
19579,"0,28",Sakda,28-Mar-02,Ammonium
19580,"0,005",Sakda,28-Mar-02,Nitrites
19581,"2,1",Sakda,28-Mar-02,Nitrates
19582,"0,01",Sakda,28-Mar-02,Orthophosphate-phosphorus
19583,"0,03",Sakda,28-Mar-02,Total phosphorus
19584,58,Sakda,28-Mar-02,Calcium
19585,"23,5",Sakda,28-Mar-02,Magnesium
19586,"40,5",Sakda,28-Mar-02,Chlorides
19587,"43,1",Sakda,28-Mar-02,Sulphates
19588,"1,2",Sakda,28-Mar-02,Iron
19589,"0,07",Sakda,28-Mar-02,Manganese
19590,25,Sakda,28-Mar-02,Zinc
19591,"34,31",Sakda,28-Mar-02,Copper
