,value,location,sample date,measure
48870,"0,02",Chai,29-Mar-06,Manganese
48871,15,Chai,29-Mar-06,Zinc
48872,"0,995",Chai,29-Mar-06,Copper
48873,"2,821",Chai,29-Mar-06,Chromium
48874,"12,56",Chai,29-Mar-06,Lead
48875,"0,025",Chai,29-Mar-06,Mercury
48876,"4,372",Chai,29-Mar-06,Nickel
48877,"3,08",Chai,29-Mar-06,Biochemical Oxygen
48878,"3,6",Chai,29-Mar-06,Chemical Oxygen Demand (Mn)
48879,"0,156",Chai,29-Mar-06,Atrazine
48880,"0,121",Chai,29-Mar-06,Simazine
48881,"0,366",Chai,29-Mar-06,Alachlor
48882,"0,033",Chai,29-Mar-06,Metolachlor
48883,"0,075",Chai,29-Mar-06,"p,p-DDT"
48884,"0,021",Chai,29-Mar-06,"p,p-DDD"
48885,"0,013",Chai,29-Mar-06,"p,p-DDE"
48886,"0,012",Chai,29-Mar-06,beta-Hexaxchlorocyclohexane
48887,"0,008",Chai,29-Mar-06,gamma-Hexachlorocyclohexane
48888,"0,428",Chai,29-Mar-06,Aldrin
48889,"0,065",Chai,29-Mar-06,Endrin
48890,12,Chai,29-Mar-06,Water temperature
48891,"9,5",Chai,29-Mar-06,Dissolved oxygen
48892,"88,3",Chai,29-Mar-06,Oxygen saturation
48893,311,Chai,29-Mar-06,Total dissolved salts
48894,"0,317",Chai,29-Mar-06,Ammonium
48895,"0,092",Chai,29-Mar-06,Nitrites
48896,"2,09",Chai,29-Mar-06,Nitrates
48897,3,Chai,29-Mar-06,Total nitrogen
48898,"0,077",Chai,29-Mar-06,Orthophosphate-phosphorus
48899,"0,098",Chai,29-Mar-06,Total phosphorus
48900,"8,29",Chai,29-Mar-06,Silica (SiO2)
48901,"42,6",Chai,29-Mar-06,Chlorides
48902,"0,06",Chai,29-Mar-06,Iron
48903,"0,081",Chai,29-Mar-06,Manganese
48904,33,Chai,29-Mar-06,Zinc
48905,"0,982",Chai,29-Mar-06,Copper
48906,"16,02",Chai,29-Mar-06,Chromium
48907,"11,2",Chai,29-Mar-06,Lead
48908,"0,025",Chai,29-Mar-06,Mercury
48909,"2,655",Chai,29-Mar-06,Nickel
48910,"2,53",Chai,29-Mar-06,Biochemical Oxygen
48911,"4,6",Chai,29-Mar-06,Chemical Oxygen Demand (Mn)
48912,"0,139",Chai,29-Mar-06,Atrazine
48913,"0,027",Chai,29-Mar-06,Simazine
48914,"0,416",Chai,29-Mar-06,Alachlor
48915,"0,031",Chai,29-Mar-06,Metolachlor
48916,"0,072",Chai,29-Mar-06,"p,p-DDT"
48917,"0,007",Chai,29-Mar-06,beta-Hexaxchlorocyclohexane
48918,10,Boonsri,6-Apr-06,Water temperature
48919,"9,51",Boonsri,6-Apr-06,Dissolved oxygen
48920,"102,2",Boonsri,6-Apr-06,Oxygen saturation
48921,"91,84",Boonsri,6-Apr-06,Total hardness
48922,"158,6",Boonsri,6-Apr-06,Bicarbonates
48923,208,Boonsri,6-Apr-06,Total dissolved salts
48924,"0,303",Boonsri,6-Apr-06,Ammonium
48925,"0,029",Boonsri,6-Apr-06,Nitrites
48926,"0,813",Boonsri,6-Apr-06,Nitrates
48927,"0,11",Boonsri,6-Apr-06,Orthophosphate-phosphorus
48928,"0,12",Boonsri,6-Apr-06,Total phosphorus
48929,"8,85",Boonsri,6-Apr-06,Silica (SiO2)
48930,12,Boonsri,6-Apr-06,Sodium
48931,2,Boonsri,6-Apr-06,Potassium
48932,"44,88",Boonsri,6-Apr-06,Calcium
48933,"12,61",Boonsri,6-Apr-06,Magnesium
48934,"18,44",Boonsri,6-Apr-06,Chlorides
48935,"35,14",Boonsri,6-Apr-06,Sulphates
48936,"0,268",Boonsri,6-Apr-06,Iron
48937,"0,071",Boonsri,6-Apr-06,Manganese
48938,14,Boonsri,6-Apr-06,Zinc
48939,"19,41",Boonsri,6-Apr-06,Copper
48940,"3,502",Boonsri,6-Apr-06,Chromium
48941,"16,33",Boonsri,6-Apr-06,Lead
48942,"0,834",Boonsri,6-Apr-06,Cadmium
48943,"0,03",Boonsri,6-Apr-06,Mercury
48944,"4,345",Boonsri,6-Apr-06,Nickel
48945,"3,55",Boonsri,6-Apr-06,Biochemical Oxygen
48946,"11,33",Boonsri,6-Apr-06,Chemical Oxygen Demand (Cr)
48947,"6,39",Boonsri,6-Apr-06,Chemical Oxygen Demand (Mn)
48948,"0,054",Boonsri,6-Apr-06,Anionic active surfactants
48949,"0,167",Boonsri,6-Apr-06,Alachlor
48950,"0,013",Boonsri,6-Apr-06,Metolachlor
48951,"0,05",Boonsri,6-Apr-06,Endosulfan (alpha)
48952,"0,01",Boonsri,6-Apr-06,"p,p-DDT"
