,value,location,sample date,measure
34209,"0,412",Kannika,3-Sep-04,Cadmium
34210,"3,53",Kannika,3-Sep-04,Nickel
34211,"1,2",Kannika,3-Sep-04,Biochemical Oxygen
34212,29,Kannika,3-Sep-04,Chemical Oxygen Demand (Cr)
34213,"3,8",Kannika,3-Sep-04,Chemical Oxygen Demand (Mn)
34214,0,Kannika,3-Sep-04,Petroleum hydrocarbons
34215,"0,04",Kannika,3-Sep-04,gamma-Hexachlorocyclohexane
34216,"21,5",Kannika,3-Sep-04,Water temperature
34217,"7,2",Kannika,3-Sep-04,Dissolved oxygen
34218,"164,2",Kannika,3-Sep-04,Bicarbonates
34219,"0,052",Kannika,3-Sep-04,Ammonium
34220,"0,034",Kannika,3-Sep-04,Nitrites
34221,"1,94",Kannika,3-Sep-04,Nitrates
34222,0,Kannika,3-Sep-04,Orthophosphate-phosphorus
34223,"0,025",Kannika,3-Sep-04,Total phosphorus
34224,"15,3",Kannika,3-Sep-04,Silica (SiO2)
34225,"43,6",Kannika,3-Sep-04,Calcium
34226,17,Kannika,3-Sep-04,Magnesium
34227,"34,1",Kannika,3-Sep-04,Chlorides
34228,"17,9",Kannika,3-Sep-04,Sulphates
34229,"0,198",Kannika,3-Sep-04,Iron
34230,"0,098",Kannika,3-Sep-04,Manganese
34231,"0,034",Kannika,3-Sep-04,Manganese
34232,0,Kannika,3-Sep-04,Zinc
34233,"8,47",Kannika,3-Sep-04,Copper
34234,"0,621",Kannika,3-Sep-04,Chromium
34235,"1,984",Kannika,3-Sep-04,Lead
34236,"0,392",Kannika,3-Sep-04,Cadmium
34237,"2,82",Kannika,3-Sep-04,Nickel
34238,"1,3",Kannika,3-Sep-04,Biochemical Oxygen
34239,"28,8",Kannika,3-Sep-04,Chemical Oxygen Demand (Cr)
34240,"3,9",Kannika,3-Sep-04,Chemical Oxygen Demand (Mn)
34241,"0,046",Kannika,3-Sep-04,gamma-Hexachlorocyclohexane
34242,"21,5",Kannika,3-Sep-04,Water temperature
34243,"7,3",Kannika,3-Sep-04,Dissolved oxygen
34244,"129,6",Kannika,3-Sep-04,Bicarbonates
34245,"0,058",Kannika,3-Sep-04,Ammonium
34246,"0,024",Kannika,3-Sep-04,Nitrites
34247,"2,09",Kannika,3-Sep-04,Nitrates
34248,0,Kannika,3-Sep-04,Orthophosphate-phosphorus
34249,"0,02",Kannika,3-Sep-04,Total phosphorus
34250,"16,6",Kannika,3-Sep-04,Silica (SiO2)
34251,"35,7",Kannika,3-Sep-04,Calcium
34252,24,Kannika,3-Sep-04,Magnesium
34253,"27,3",Kannika,3-Sep-04,Chlorides
34254,"16,9",Kannika,3-Sep-04,Sulphates
34255,"0,202",Kannika,3-Sep-04,Iron
34256,"0,042",Kannika,3-Sep-04,Manganese
34257,0,Kannika,3-Sep-04,Zinc
34258,"4,47",Kannika,3-Sep-04,Copper
34259,"1,676",Kannika,3-Sep-04,Chromium
